[Data]
 R [ m ], Velocity Axial [ m s^-1 ], Velocity Radial [ m s^-1 ], Velocity Circumferential [ m s^-1 ]
   0,                  0.17125790000000, 0.0,   0.0
   0.00012758790000,   0.17125790000000, 0.0,   0.01016269000000
   0.00025517590000,   0.17125790000000, 0.0,   0.02076193000000
   0.00038276380000,   0.17125790000000, 0.0,   0.03174744000000
   0.00051035180000,   0.17125790000000, 0.0,   0.04306893000000
   0.00063793970000,   0.17125790000000, 0.0,   0.05467612000000
   0.00076552760000,   0.17121120000000, 0.0,   0.06651873000000
   0.00089311560000,   0.17120590000000, 0.0,   0.07854646000000
   0.00102070400000,   0.17125440000000, 0.0,   0.09070905000000
   0.00114829100000,   0.17136900000000, 0.0,   0.10295620000000
   0.00127587900000,   0.17156190000000, 0.0,   0.11523760000000
   0.00140346700000,   0.17184550000000, 0.0,   0.12750300000000
   0.00153105500000,   0.17223190000000, 0.0,   0.13970220000000
   0.00165864300000,   0.17273360000000, 0.0,   0.15178470000000
   0.00178623100000,   0.17336260000000, 0.0,   0.16370050000000
   0.00191381900000,   0.17413150000000, 0.0,   0.17539900000000
   0.00204140700000,   0.17505230000000, 0.0,   0.18683020000000
   0.00216899500000,   0.17613750000000, 0.0,   0.19794360000000
   0.00229658300000,   0.17739930000000, 0.0,   0.20868910000000
   0.00242417100000,   0.17884990000000, 0.0,   0.21901630000000
   0.00255175900000,   0.18050170000000, 0.0,   0.22887490000000
   0.00267934700000,   0.18236680000000, 0.0,   0.23821470000000
   0.00280693500000,   0.18445000000000, 0.0,   0.24700850000000
   0.00293452300000,   0.18672920000000, 0.0,   0.25530840000000
   0.00306211100000,   0.18917680000000, 0.0,   0.26318330000000
   0.00318969800000,   0.19176520000000, 0.0,   0.27070200000000
   0.00331728600000,   0.19446680000000, 0.0,   0.27793360000000
   0.00344487400000,   0.19725400000000, 0.0,   0.28494690000000
   0.00357246200000,   0.20009930000000, 0.0,   0.29181090000000
   0.00370005000000,   0.20297500000000, 0.0,   0.29859450000000
   0.00382763800000,   0.20585360000000, 0.0,   0.30536640000000
   0.00395522600000,   0.20870710000000, 0.0,   0.31219630000000
   0.00408281400000,   0.21151050000000, 0.0,   0.31914760000000
   0.00421040200000,   0.21426460000000, 0.0,   0.32622700000000
   0.00433799000000,   0.21699500000000, 0.0,   0.33338790000000
   0.00446557800000,   0.21972640000000, 0.0,   0.34058450000000
   0.00459316600000,   0.22248440000000, 0.0,   0.34777010000000
   0.00472075400000,   0.22529410000000, 0.0,   0.35489830000000
   0.00484834200000,   0.22818080000000, 0.0,   0.36192270000000
   0.00497593000000,   0.23116990000000, 0.0,   0.36879680000000
   0.00510351800000,   0.23428650000000, 0.0,   0.37547420000000
   0.00523110600000,   0.23755600000000, 0.0,   0.38190830000000
   0.00535869300000,   0.24100370000000, 0.0,   0.38805270000000
   0.00548628100000,   0.24464340000000, 0.0,   0.39388020000000
   0.00561386900000,   0.24845650000000, 0.0,   0.39941800000000
   0.00574145700000,   0.25241790000000, 0.0,   0.40470410000000
   0.00586904500000,   0.25650300000000, 0.0,   0.40977610000000
   0.00599663300000,   0.26068670000000, 0.0,   0.41467190000000
   0.00612422100000,   0.26494420000000, 0.0,   0.41942920000000
   0.00625180900000,   0.26925070000000, 0.0,   0.42408570000000
   0.00637939700000,   0.27358120000000, 0.0,   0.42867920000000
   0.00650698500000,   0.27791110000000, 0.0,   0.43324730000000
   0.00663457300000,   0.28221500000000, 0.0,   0.43782840000000
   0.00676216100000,   0.28647010000000, 0.0,   0.44245650000000
   0.00688974900000,   0.29066850000000, 0.0,   0.44713960000000
   0.00701733700000,   0.29481510000000, 0.0,   0.45186180000000
   0.00714492500000,   0.29891460000000, 0.0,   0.45660870000000
   0.00727251300000,   0.30297180000000, 0.0,   0.46136490000000
   0.00740010100000,   0.30699150000000, 0.0,   0.46611550000000
   0.00752768800000,   0.31097850000000, 0.0,   0.47084540000000
   0.00765527600000,   0.31493750000000, 0.0,   0.47553950000000
   0.00778286400000,   0.31887330000000, 0.0,   0.48018280000000
   0.00791045200000,   0.32279080000000, 0.0,   0.48476020000000
   0.00803804000000,   0.32669470000000, 0.0,   0.48925650000000
   0.00816562800000,   0.33058830000000, 0.0,   0.49366120000000
   0.00829321600000,   0.33447210000000, 0.0,   0.49797330000000
   0.00842080400000,   0.33834570000000, 0.0,   0.50219420000000
   0.00854839200000,   0.34220860000000, 0.0,   0.50632470000000
   0.00867598000000,   0.34606070000000, 0.0,   0.51036600000000
   0.00880356800000,   0.34990160000000, 0.0,   0.51431920000000
   0.00893115600000,   0.35373100000000, 0.0,   0.51818530000000
   0.00905874400000,   0.35754860000000, 0.0,   0.52196530000000
   0.00918633200000,   0.36135400000000, 0.0,   0.52566040000000
   0.00931392000000,   0.36514690000000, 0.0,   0.52927170000000
   0.00944150800000,   0.36892720000000, 0.0,   0.53279940000000
   0.00956909500000,   0.37269540000000, 0.0,   0.53623910000000
   0.00969668300000,   0.37645230000000, 0.0,   0.53958230000000
   0.00982427100000,   0.38019910000000, 0.0,   0.54282070000000
   0.00995185900000,   0.38393670000000, 0.0,   0.54594600000000
   0.01007945000000,   0.38766630000000, 0.0,   0.54895000000000
   0.01020704000000,   0.39138860000000, 0.0,   0.55182440000000
   0.01033462000000,   0.39510490000000, 0.0,   0.55456070000000
   0.01046221000000,   0.39881600000000, 0.0,   0.55715090000000
   0.01058980000000,   0.40252300000000, 0.0,   0.55958650000000
   0.01071739000000,   0.40622700000000, 0.0,   0.56185920000000
